;PK_IRP;BITOLA;QTD;ACABAMENTO 1;ACABAMENTO 2;PRIORIDADE
282;656480;0.75;2;1062-16-0622 (2310364-1);1060-16-0622;33
278;656476;0.75;2;1062-16-0622 (2310364-1);1060-16-0622;33
227;656425;0.75;2;1060-16-0622;1062-16-0622 (2310364-1);33
226;656424;0.75;2;1060-16-0622;1062-16-0622 (2310364-1);33
225;656423;0.75;2;1060-16-0622;1062-16-0622 (2310364-1);33
224;656422;0.75;2;1060-16-0622;1062-16-0622 (2310364-1);33
223;656421;0.75;2;1060-16-0622;1062-16-0622 (2310364-1);33
222;656420;0.75;2;1060-16-0622;1062-16-0622 (2310364-1);33
221;656419;0.75;2;1060-16-0622;1062-16-0622 (2310364-1);33
220;656418;0.75;2;1060-16-0622;1062-16-0622 (2310364-1);33
219;656417;0.75;2;1060-16-0622;1062-16-0622 (2310364-1);33
218;656416;0.75;2;1060-16-0622;1062-16-0622 (2310364-1);33
855;657053;0.75;2;1060-16-0622;1062-16-0622 (2310364-1);33
854;657052;0.75;2;1060-16-0622;1062-16-0622 (2310364-1);33
277;656475;0.75;2;1062-16-0622 (2310364-1);1060-16-0622;33
852;657050;0.75;2;1060-16-0622;1062-16-0622 (2310364-1);33
851;657049;0.75;2;1060-16-0622;1062-16-0622 (2310364-1);33
850;657048;0.75;2;1060-16-0622;1062-16-0622 (2310364-1);33
849;657047;0.75;2;1060-16-0622;1062-16-0622 (2310364-1);33
848;657046;0.75;2;1060-16-0622;1062-16-0622 (2310364-1);33
274;656472;0.75;2;1062-16-0622 (2310364-1);1060-16-0622;33
273;656471;0.75;2;1062-16-0622 (2310364-1);1060-16-0622;33
279;656477;0.75;2;1062-16-0622 (2310364-1);1060-16-0622;33
853;657051;0.75;2;1060-16-0622;1062-16-0622 (2310364-1);33
785;656983;0.75;2;1062-16-0622 (2310364-1);444334-2;34
786;656984;0.75;2;1062-16-0622 (2310364-1);444334-2;34
783;656981;0.75;2;1062-16-0622 (2310364-1);444334-2;34
787;656985;0.75;2;1062-16-0622 (2310364-1);444334-2;34
784;656982;0.75;2;1062-16-0622 (2310364-1);444334-2;34
1772;678796;1.0;3;ZV3MA0039;Vazio;35
1683;678706;1.0;2;ZV3MA0039;Vazio;35
1682;678705;1.0;2;ZV3MA0039;Vazio;35
1674;678697;1.0;1;ZV3MA0039;Vazio;35
1673;678696;1.0;1;ZV3MA0039;Vazio;35
1672;678695;1.0;1;ZV3MA0039;Vazio;35
1671;678694;1.0;1;ZV3MA0039;Vazio;35
1670;678693;1.0;1;ZV3MA0039;Vazio;35
1665;678688;1.0;2;ZV3MA0039;Vazio;35
1650;678673;1.0;10;ZV3MA0039;Vazio;35
1649;678672;1.0;1;ZV3MA0039;Vazio;35
1608;678631;1.0;10;ZV3MA0039;Vazio;35
1763;678786;1.0;1;ZV3MA0039;Vazio;35
1764;678787;1.0;1;ZV3MA0039;Vazio;35
1768;678792;1.0;20;ZV3MA0039;Vazio;35
1769;678793;1.0;6;ZV3MA0039;Vazio;35
1770;678794;1.0;3;ZV3MA0039;Vazio;35
1771;678795;1.0;3;ZV3MA0039;Vazio;35
1664;678687;1.0;10;ZV3MA0039;Vazio;35
1767;678791;1.0;3;ZV3MA0039;Vazio;35
1749;678772;1.0;3;ZV3MA0039;Vazio;35
1746;678769;1.0;20;ZV3MA0039;Vazio;35
1748;678771;1.0;3;ZV3MA0039;Vazio;35
1568;678591;1.0;6;ZV3MA0039;ZV3MA0039;36
1563;678586;1.0;2;ZV3MA0039;ZV3MA0039;36
1564;678587;1.0;4;ZV3MA0039;ZV3MA0039;36
1565;678588;1.0;2;ZV3MA0039;ZV3MA0039;36
1566;678589;1.0;2;ZV3MA0039;ZV3MA0039;36
1567;678590;1.0;2;ZV3MA0039;ZV3MA0039;36
1569;678592;1.0;4;ZV3MA0039;ZV3MA0039;36
1570;678593;1.0;20;ZV3MA0039;ZV3MA0039;36
1571;678594;1.0;4;ZV3MA0039;ZV3MA0039;36
1572;678595;1.0;2;ZV3MA0039;ZV3MA0039;36
1573;678596;1.0;3;ZV3MA0039;ZV3MA0039;36
1575;678598;1.0;3;ZV3MA0039;ZV3MA0039;36
1582;678605;1.0;1;ZV3MA0039;ZV3MA0039;36
1583;678606;1.0;2;ZV3MA0039;ZV3MA0039;36
1584;678607;1.0;10;ZV3MA0039;ZV3MA0039;36
1585;678608;1.0;3;ZV3MA0039;ZV3MA0039;36
1599;678622;1.0;10;ZV3MA0039;ZV3MA0039;36
1598;678621;1.0;1;ZV3MA0039;ZV3MA0039;36
1597;678620;1.0;10;ZV3MA0039;ZV3MA0039;36
1596;678619;1.0;9;ZV3MA0039;ZV3MA0039;36
1595;678618;1.0;18;ZV3MA0039;ZV3MA0039;36
1594;678617;1.0;3;ZV3MA0039;ZV3MA0039;36
1562;678585;1.0;4;ZV3MA0039;ZV3MA0039;36
1593;678616;1.0;4;ZV3MA0039;ZV3MA0039;36
1591;678614;1.0;2;ZV3MA0039;ZV3MA0039;36
1590;678613;1.0;20;ZV3MA0039;ZV3MA0039;36
1589;678612;1.0;4;ZV3MA0039;ZV3MA0039;36
1588;678611;1.0;1;ZV3MA0039;ZV3MA0039;36
1587;678610;1.0;2;ZV3MA0039;ZV3MA0039;36
1586;678609;1.0;10;ZV3MA0039;ZV3MA0039;36
1592;678615;1.0;2;ZV3MA0039;ZV3MA0039;36
1561;678584;1.0;2;ZV3MA0039;ZV3MA0039;36
1524;678547;1.0;2;ZV3MA0039;ZV3MA0039;36
1600;678623;1.0;10;ZV3MA0039;ZV3MA0039;36
1725;678748;1.0;6;ZV3MA0039;ZV3MA0039;36
1724;678747;1.0;3;ZV3MA0039;ZV3MA0039;36
1723;678746;1.0;2;ZV3MA0039;ZV3MA0039;36
1722;678745;1.0;1;ZV3MA0039;ZV3MA0039;36
1489;678512;1.0;4;ZV3MA0039;ZV3MA0039;36
1490;678513;1.0;8;ZV3MA0039;ZV3MA0039;36
1495;678518;1.0;2;ZV3MA0039;ZV3MA0039;36
1496;678519;1.0;3;ZV3MA0039;ZV3MA0039;36
1497;678520;1.0;6;ZV3MA0039;ZV3MA0039;36
1498;678521;1.0;1;ZV3MA0039;ZV3MA0039;36
1499;678522;1.0;2;ZV3MA0039;ZV3MA0039;36
1500;678523;1.0;4;ZV3MA0039;ZV3MA0039;36
1501;678524;1.0;2;ZV3MA0039;ZV3MA0039;36
1502;678525;1.0;4;ZV3MA0039;ZV3MA0039;36
1525;678548;1.0;4;ZV3MA0039;ZV3MA0039;36
1503;678526;1.0;4;ZV3MA0039;ZV3MA0039;36
1505;678528;1.0;1;ZV3MA0039;ZV3MA0039;36
1509;678532;1.0;4;ZV3MA0039;ZV3MA0039;36
1510;678533;1.0;4;ZV3MA0039;ZV3MA0039;36
1511;678534;1.0;16;ZV3MA0039;ZV3MA0039;36
1512;678535;1.0;4;ZV3MA0039;ZV3MA0039;36
1513;678536;1.0;2;ZV3MA0039;ZV3MA0039;36
1514;678537;1.0;4;ZV3MA0039;ZV3MA0039;36
1515;678538;1.0;4;ZV3MA0039;ZV3MA0039;36
1516;678539;1.0;2;ZV3MA0039;ZV3MA0039;36
1517;678540;1.0;1;ZV3MA0039;ZV3MA0039;36
1520;678543;1.0;2;ZV3MA0039;ZV3MA0039;36
1521;678544;1.0;2;ZV3MA0039;ZV3MA0039;36
1522;678545;1.0;10;ZV3MA0039;ZV3MA0039;36
1523;678546;1.0;1;ZV3MA0039;ZV3MA0039;36
1504;678527;1.0;2;ZV3MA0039;ZV3MA0039;36
1601;678624;1.0;1;ZV3MA0039;ZV3MA0039;36
1574;678597;1.0;3;ZV3MA0039;ZV3MA0039;36
1603;678626;1.0;2;ZV3MA0039;ZV3MA0039;36
1762;678785;1.0;1;ZV3MA0039;ZV3MA0039;36
1602;678625;1.0;2;ZV3MA0039;ZV3MA0039;36
1681;678704;1.0;1;ZV3MA0039;ZV3MA0039;36
960;660512;1.0;4;ZV3MA0039;ZV3MA0039;36
1669;678692;1.0;2;ZV3MA0039;ZV3MA0039;36
1668;678691;1.0;1;ZV3MA0039;ZV3MA0039;36
1642;678665;1.0;6;ZV3MA0039;ZV3MA0039;36
1641;678664;1.0;5;ZV3MA0039;ZV3MA0039;36
1640;678663;1.0;5;ZV3MA0039;ZV3MA0039;36
1639;678662;1.0;1;ZV3MA0039;ZV3MA0039;36
1638;678661;1.0;2;ZV3MA0039;ZV3MA0039;36
1637;678660;1.0;2;ZV3MA0039;ZV3MA0039;36
1636;678659;1.0;6;ZV3MA0039;ZV3MA0039;36
1635;678658;1.0;5;ZV3MA0039;ZV3MA0039;36
1684;678707;1.0;2;ZV3MA0039;ZV3MA0039;36
1634;678657;1.0;6;ZV3MA0039;ZV3MA0039;36
1604;678627;1.0;10;ZV3MA0039;ZV3MA0039;36
1734;678757;1.0;1;ZV3MA0039;FA2200-C;37
1761;678784;1.0;1;ZV3MA0039;FA2200-C;37
1617;678640;1.0;2;626029-2;ZV3MA0039;38
1765;678789;1.0;3;ZV3MA0039;160916-6;39
967;660537;1.0;4;ZV3MA0039;237.01;40
1613;678636;1.0;4;ZV3MA0039;231-702/026-000;41
1614;678637;1.0;4;ZV3MA0039;231-702/026-000;41
1616;678639;1.0;4;ZV3MA0039;231-302/026-000;42
1615;678638;1.0;4;ZV3MA0039;231-302/026-000;42
973;660749;1.0;1;ZV3MA0039;734-202;43
974;660750;1.0;1;ZV3MA0039;734-202;43
1508;678531;1.0;4;ZV3MA0039;231-633;44
1507;678530;1.0;4;ZV3MA0039;231-633;44
1506;678529;1.0;4;ZV3MA0039;231-633;44
970;660543;1.0;4;ZV3MA0039;231-632;45
969;660541;1.0;4;ZV3MA0039;231-632;45
1609;678632;1.0;4;ZV3MA0039;231-632;45
1610;678633;1.0;4;ZV3MA0039;231-632;45
1675;678698;1.0;1;ZV3MA0039;160739-9;46
1721;678744;1.0;10;ZV3MA0039;ZV3AE0622;47
1754;678777;1.0;3;ZV3AE0622;ZV3MA0039;47
1773;678797;1.0;10;ZV3AE0622;ZV3MA0039;47
1755;678778;1.0;3;ZV3AE0622;ZV3MA0039;47
1680;678703;1.0;1;ZV3MA0039;444335-2;48
1686;678709;1.0;2;444335-2;ZV3MA0039;48
1605;678628;1.0;10;ZV3MA0039;444335-2;48
1685;678708;1.0;2;444335-2;ZV3MA0039;48
968;660538;1.0;4;ZV3MA0039;444335-2;48
1679;678702;1.0;1;ZV3MA0039;444335-2;48
1687;678710;1.0;3;ZV3MA0039;444335-2;48
1606;678629;1.0;10;444335-2;ZV3MA0039;48
1607;678630;1.0;10;444335-2;ZV3MA0039;48
1758;678781;1.0;10;ZV3MA0039;444335-2;48
1677;678700;1.0;1;444335-2;ZV3MA0039;48
1678;678701;1.0;1;444335-2;ZV3MA0039;48
1667;678690;1.0;2;ZV3MA0039;444335-2;48
1766;678790;1.0;3;444335-2;ZV3MA0039;48
27;656225;1.5;2;Vazio;444335-2;49
338;656536;1.5;2;444335-2;Vazio;49
28;656226;1.5;2;Vazio;444335-2;49
29;656227;1.5;2;Vazio;444335-2;49
30;656228;1.5;2;Vazio;444335-2;49
31;656229;1.5;2;Vazio;444335-2;49
32;656230;1.5;2;Vazio;444335-2;49
33;656231;1.5;2;Vazio;444335-2;49
34;656232;1.5;2;Vazio;444335-2;49
35;656233;1.5;2;Vazio;444335-2;49
36;656234;1.5;2;Vazio;444335-2;49
37;656235;1.5;2;Vazio;444335-2;49
38;656236;1.5;2;Vazio;444335-2;49
39;656237;1.5;2;Vazio;444335-2;49
40;656238;1.5;2;Vazio;444335-2;49
41;656239;1.5;2;Vazio;444335-2;49
42;656240;1.5;2;Vazio;444335-2;49
43;656241;1.5;2;Vazio;444335-2;49
44;656242;1.5;2;Vazio;444335-2;49
45;656243;1.5;2;Vazio;444335-2;49
46;656244;1.5;2;Vazio;444335-2;49
1283;677691;1.0;10;Vazio;444335-2;49
47;656245;1.5;2;Vazio;444335-2;49
18;656216;1.5;2;Vazio;444335-2;49
19;656217;1.5;2;Vazio;444335-2;49
342;656540;1.5;2;444335-2;Vazio;49
25;656223;1.5;2;Vazio;444335-2;49
1483;677891;1.5;25;Vazio;444335-2;49
339;656537;1.5;2;444335-2;Vazio;49
24;656222;1.5;2;Vazio;444335-2;49
23;656221;1.5;2;Vazio;444335-2;49
22;656220;1.5;2;Vazio;444335-2;49
21;656219;1.5;2;Vazio;444335-2;49
20;656218;1.5;2;Vazio;444335-2;49
340;656538;1.5;2;444335-2;Vazio;49
26;656224;1.5;2;Vazio;444335-2;49
341;656539;1.5;2;444335-2;Vazio;49
1676;678699;1.0;1;444335-2;444335-2;50
1446;677854;1.5;101;444335-2;444335-2;50
1445;677853;1.5;2;444335-2;444335-2;50
1437;677845;1.5;15;444335-2;444335-2;50
1443;677851;1.0;2;444335-2;444335-2;50
1438;677846;1.5;10;444335-2;444335-2;50
1444;677852;1.0;101;444335-2;444335-2;50
1526;678549;1.0;2;444335-2;444335-2;50
944;659362;1.5;32;444335-2;444335-2;50
943;659361;1.0;32;444335-2;444335-2;50
1434;677842;1.0;10;444335-2;444335-2;50
1436;677844;1.5;7;444335-2;444335-2;50
940;659358;1.5;18;444335-2;444335-2;50
939;659357;1.0;18;444335-2;444335-2;50
1433;677841;1.0;7;444335-2;444335-2;50
1435;677843;1.0;15;444335-2;444335-2;50
76;656274;1.5;2;444335-2;1060-16-1222;51
77;656275;1.5;2;444335-2;1060-16-1222;51
73;656271;1.5;2;444335-2;1060-16-1222;51
148;656346;1.5;2;1060-16-1222;444335-2;51
149;656347;1.5;2;1060-16-1222;444335-2;51
150;656348;1.5;2;1060-16-1222;444335-2;51
74;656272;1.5;2;444335-2;1060-16-1222;51
75;656273;1.5;2;444335-2;1060-16-1222;51
152;656350;1.5;2;1060-16-1222;444335-2;51
151;656349;1.5;2;1060-16-1222;444335-2;51
1626;678649;0.5;1;444334-2;Vazio;52
1627;678650;0.5;2;444334-2;Vazio;52
1653;678676;0.75;5;444334-2;Vazio;52
1654;678677;0.75;6;444334-2;Vazio;52
1658;678681;0.75;6;444334-2;Vazio;52
1659;678682;0.75;5;444334-2;Vazio;52
583;656781;0.75;2;444334-2;Vazio;52
1661;678684;0.5;2;444334-2;Vazio;52
1662;678685;0.5;2;444334-2;Vazio;52
1663;678686;0.5;2;444334-2;Vazio;52
584;656782;0.75;2;444334-2;Vazio;52
435;656633;0.75;2;Vazio;444334-2;52
433;656631;0.75;2;Vazio;444334-2;52
585;656783;0.75;2;444334-2;Vazio;52
586;656784;0.75;2;444334-2;Vazio;52
587;656785;0.75;2;444334-2;Vazio;52
437;656635;0.75;2;Vazio;444334-2;52
434;656632;0.75;2;Vazio;444334-2;52
436;656634;0.75;2;Vazio;444334-2;52
1623;678646;0.5;2;444334-2;444334-2;53
1581;678604;0.5;2;444334-2;444334-2;53
1540;678563;0.75;6;444334-2;444334-2;53
1539;678562;0.75;5;444334-2;444334-2;53
1555;678578;0.75;12;444334-2;444334-2;53
1556;678579;0.75;10;444334-2;444334-2;53
965;660534;0.5;4;444334-2;734-202;54
966;660536;0.5;4;444334-2;734-202;54
1541;678564;0.75;5;444334-2;CN4473;55
1542;678565;0.75;6;444334-2;CN4473;55
1579;678602;0.5;2;444334-2;160739-9;56
1580;678603;0.5;2;160739-9;444334-2;56
1646;678669;0.5;1;444334-2;ZV3MA0035;57
1647;678670;0.5;4;444334-2;ZV3MA0035;57
1648;678671;0.5;2;444334-2;ZV3MA0035;57
1738;678761;0.5;6;ZV3MA0035;444334-2;57
1576;678599;0.5;1;444334-2;ZV3MA0035;57
1736;678759;0.5;6;ZV3MA0035;444334-2;57
1740;678763;0.5;1;ZV3MA0035;444334-2;57
1645;678668;0.5;2;444334-2;ZV3MA0035;57
1739;678762;0.5;2;ZV3MA0035;444334-2;57
1644;678667;0.5;1;ZV3MA0035;444334-2;57
1624;678647;0.5;1;ZV3MA0035;444334-2;57
1577;678600;0.5;2;444334-2;ZV3MA0035;57
1633;678656;0.5;2;444334-2;ZV3MA0035;57
1632;678655;0.5;4;444334-2;ZV3MA0035;57
1631;678654;0.5;2;444334-2;ZV3MA0035;57
1630;678653;0.5;1;444334-2;ZV3MA0035;57
1629;678652;0.5;2;ZV3MA0035;444334-2;57
1628;678651;0.5;1;ZV3MA0035;444334-2;57
1625;678648;0.5;2;ZV3MA0035;444334-2;57
1741;678764;0.5;3;ZV3MA0035;444334-2;57
1737;678760;0.5;6;ZV3MA0035;444334-2;57
1643;678666;0.5;2;ZV3MA0035;444334-2;57
1735;678758;0.5;2;ZV3MA0035;444334-2;57
1750;678773;0.5;20;444334-2;ZV3MA0035;57
1732;678755;0.5;2;ZV3MA0035;444334-2;57
1756;678779;0.5;6;ZV3MA0035;444334-2;57
1753;678776;0.5;6;444334-2;ZV3MA0035;57
1493;678516;0.5;6;ZV3MA0035;444334-2;57
1733;678756;0.5;1;ZV3MA0035;444334-2;57
1752;678775;0.5;20;444334-2;ZV3MA0035;57
1743;678766;0.5;6;ZV3MA0035;444334-2;57
1492;678515;0.5;2;ZV3MA0035;444334-2;57
1491;678514;0.5;2;ZV3MA0035;444334-2;57
1719;678742;0.5;2;444334-2;ZV3MA0035;57
1720;678743;0.5;1;444334-2;ZV3MA0035;57
1726;678749;0.5;1;444334-2;ZV3MA0035;57
1727;678750;0.5;2;444334-2;ZV3MA0035;57
1728;678751;0.5;1;ZV3MA0035;444334-2;57
1757;678780;0.5;20;ZV3MA0035;444334-2;57
1729;678752;0.5;2;ZV3MA0035;444334-2;57
1744;678767;0.5;20;ZV3MA0035;444334-2;57
1745;678768;0.5;2;ZV3MA0035;444334-2;57
1751;678774;0.5;6;444334-2;ZV3MA0035;57
1578;678601;0.5;2;444334-2;ZV3MA0035;57
1747;678770;0.5;6;ZV3MA0035;444334-2;57
1759;678782;0.5;2;ZV3MA0035;444334-2;57
1760;678783;0.5;1;ZV3MA0035;444334-2;57
1730;678753;0.5;2;444334-2;ZV3MA0035;57
1742;678765;0.5;3;ZV3MA0035;444334-2;57
1731;678754;0.5;1;444334-2;ZV3MA0035;57
1494;678517;0.5;3;ZV3MA0035;444334-2;57
70;656268;0.75;2;444334-2;1060-16-0622;58
71;656269;0.75;2;444334-2;1060-16-0622;58
72;656270;0.75;2;444334-2;1060-16-0622;58
69;656267;0.75;2;444334-2;1060-16-0622;58
62;656260;0.75;2;444334-2;1060-16-0622;58
67;656265;0.75;2;444334-2;1060-16-0622;58
49;656247;0.75;2;444334-2;1060-16-0622;58
50;656248;0.75;2;444334-2;1060-16-0622;58
51;656249;0.75;2;444334-2;1060-16-0622;58
52;656250;0.75;2;444334-2;1060-16-0622;58
53;656251;0.75;2;444334-2;1060-16-0622;58
54;656252;0.75;2;444334-2;1060-16-0622;58
55;656253;0.75;2;444334-2;1060-16-0622;58
68;656266;0.75;2;444334-2;1060-16-0622;58
56;656254;0.75;2;444334-2;1060-16-0622;58
58;656256;0.75;2;444334-2;1060-16-0622;58
59;656257;0.75;2;444334-2;1060-16-0622;58
60;656258;0.75;2;444334-2;1060-16-0622;58
61;656259;0.75;2;444334-2;1060-16-0622;58
64;656262;0.75;2;444334-2;1060-16-0622;58
65;656263;0.75;2;444334-2;1060-16-0622;58
66;656264;0.75;2;444334-2;1060-16-0622;58
57;656255;0.75;2;444334-2;1060-16-0622;58
48;656246;0.75;2;444334-2;1060-16-0622;58
63;656261;0.75;2;444334-2;1060-16-0622;58
162;656360;0.75;2;1060-16-0622;444334-2;58
167;656365;0.75;2;1060-16-0622;444334-2;58
166;656364;0.75;2;1060-16-0622;444334-2;58
165;656363;0.75;2;1060-16-0622;444334-2;58
164;656362;0.75;2;1060-16-0622;444334-2;58
153;656351;0.75;2;1060-16-0622;444334-2;58
154;656352;0.75;2;1060-16-0622;444334-2;58
155;656353;0.75;2;1060-16-0622;444334-2;58
156;656354;0.75;2;1060-16-0622;444334-2;58
157;656355;0.75;2;1060-16-0622;444334-2;58
163;656361;0.75;2;1060-16-0622;444334-2;58
161;656359;0.75;2;1060-16-0622;444334-2;58
160;656358;0.75;2;1060-16-0622;444334-2;58
159;656357;0.75;2;1060-16-0622;444334-2;58
158;656356;0.75;2;1060-16-0622;444334-2;58
1553;678576;0.75;6;444334-2;ZV3MA0038;59
1533;678556;0.75;10;ZV3MA0038;444334-2;59
1534;678557;0.75;12;ZV3MA0038;444334-2;59
1560;678583;0.75;5;444334-2;ZV3MA0038;59
1800;678824;0.75;7;444334-2;ZV3MA0038;59
1554;678577;0.75;5;444334-2;ZV3MA0038;59
1558;678581;0.75;6;444334-2;ZV3MA0038;59
1557;678580;0.75;5;444334-2;ZV3MA0038;59
1801;678825;0.75;4;444334-2;ZV3MA0038;59
1559;678582;0.75;6;444334-2;ZV3MA0038;59
1804;678828;0.75;19;444334-2;ZV3MA0038;59
1552;678575;0.75;5;444334-2;ZV3MA0038;59
1551;678574;0.75;6;444334-2;ZV3MA0038;59
1802;678826;0.75;7;444334-2;ZV3MA0038;59
1549;678572;0.75;5;444334-2;ZV3MA0038;59
1548;678571;0.75;5;444334-2;ZV3MA0038;59
1550;678573;0.75;6;444334-2;ZV3MA0038;59
1546;678569;0.75;5;444334-2;ZV3MA0038;59
1545;678568;0.75;6;444334-2;ZV3MA0038;59
1547;678570;0.75;6;444334-2;ZV3MA0038;59
1803;678827;0.75;3;444334-2;ZV3MA0038;59
1666;678689;0.75;22;ZV3MA0038;Vazio;60
1651;678674;0.75;11;ZV3MA0038;Vazio;60
1660;678683;0.75;6;ZV3MA0038;Vazio;60
1657;678680;0.75;5;ZV3MA0038;Vazio;60
1656;678679;0.75;11;ZV3MA0038;Vazio;60
1655;678678;0.75;6;ZV3MA0038;Vazio;60
1652;678675;0.75;5;ZV3MA0038;Vazio;60
1619;678642;0.75;2;Vazio;ZV3MA0038;60
1622;678645;0.75;2;Vazio;ZV3MA0038;60
1621;678644;0.75;2;Vazio;ZV3MA0038;60
1620;678643;0.75;2;Vazio;ZV3MA0038;60
1543;678566;0.75;6;ZV3MA0038;ZV3MA0038;61
1544;678567;0.75;5;ZV3MA0038;ZV3MA0038;61
1536;678559;0.75;12;ZV3MA0038;ZV3MA0038;61
1535;678558;0.75;10;ZV3MA0038;ZV3MA0038;61
1688;678711;0.75;3;ZV3MA0038;ZV3MA0038;61
1528;678551;0.75;2;ZV3MA0038;ZV3MA0038;61
1798;678822;0.75;7;ZV3MA0038;ZV3MA0038;61
1774;678798;0.75;7;ZV3MA0038;ZV3MA0038;61
1527;678550;0.75;2;ZV3MA0038;ZV3MA0038;61
1532;678555;0.75;2;ZV3MA0038;231-302/026-000;62
1537;678560;0.75;6;ZV3MA0038;160739-9;63
1538;678561;0.75;5;ZV3MA0038;160739-9;63
1805;678829;0.75;19;ZV3MA0038;160871-6;64
964;660532;0.75;1;ZV3MA0038;3-770476-1;65
963;660529;0.75;1;ZV3MA0038;3-770476-1;65
962;660528;0.75;1;ZV3MA0038;3-770476-1;65
961;660527;0.75;1;ZV3MA0038;3-770476-1;65
1612;678635;0.75;4;ZV3MA0038;3-770476-1;65
1530;678553;0.75;2;3-770476-1;ZV3MA0038;65
972;660651;0.75;1;ZV3MA0038;3-770476-1;65
1529;678552;0.75;2;3-770476-1;ZV3MA0038;65
1518;678541;0.75;2;ZV3MA0038;3-770476-1;65
1531;678554;0.75;2;3-770476-1;ZV3MA0038;65
1519;678542;0.75;2;ZV3MA0038;3-770476-1;65
1618;678641;0.75;2;ZV3MA0038;3-770476-1;65
1611;678634;0.75;4;ZV3MA0038;3-770476-1;65
1782;678806;0.75;19;ZV3AE0624;ZV3MA0038;66
1783;678807;0.75;7;ZV3AE0624;ZV3MA0038;66
1787;678811;0.75;3;ZV3AE0624;ZV3MA0038;66
1784;678808;0.75;7;ZV3AE0624;ZV3MA0038;66
1785;678809;0.75;3;ZV3AE0624;ZV3MA0038;66
1789;678813;0.75;4;ZV3AE0624;ZV3MA0038;66
1788;678812;0.75;7;ZV3AE0624;ZV3MA0038;66
1786;678810;0.75;4;ZV3AE0624;ZV3MA0038;66
1780;678804;0.75;19;ZV3MA0038;ZV3AE0609;67
1779;678803;0.75;7;ZV3MA0038;ZV3AE0609;67
1778;678802;0.75;7;ZV3AE0609;ZV3MA0038;67
1796;678820;0.75;4;ZV3MA0038;ZV3AE0609;67
1790;678814;0.75;3;ZV3MA0038;ZV3AE0609;67
1781;678805;0.75;19;ZV3AE0609;ZV3MA0038;67
1792;678816;0.75;4;ZV3AE0609;ZV3MA0038;67
1794;678818;0.75;3;ZV3MA0038;ZV3AE0609;67
1797;678821;0.75;4;ZV3AE0609;ZV3MA0038;67
1795;678819;0.75;7;ZV3MA0038;ZV3AE0609;67
1791;678815;0.75;7;ZV3AE0609;ZV3MA0038;67
1799;678823;0.75;7;ZV3MA0038;ZV3AE0609;67
1793;678817;0.75;3;ZV3AE0609;ZV3MA0038;67
1776;678800;0.75;19;ZV3MA0038;ZV3AE0609;67
1777;678801;0.75;19;ZV3AE0609;ZV3MA0038;67
1775;678799;0.75;7;ZV3MA0038;ZV3AE0609;67
210;656408;0.75;2;1060-16-0622;Vazio;68
209;656407;0.75;2;1060-16-0622;Vazio;68
208;656406;0.75;2;1060-16-0622;Vazio;68
207;656405;0.75;2;1060-16-0622;Vazio;68
206;656404;0.75;2;1060-16-0622;Vazio;68
309;656507;0.75;2;Vazio;1060-16-0622;68
204;656402;0.75;2;1060-16-0622;Vazio;68
203;656401;0.75;2;1060-16-0622;Vazio;68
202;656400;0.75;2;1060-16-0622;Vazio;68
201;656399;0.75;2;1060-16-0622;Vazio;68
200;656398;0.75;2;1060-16-0622;Vazio;68
198;656396;0.75;2;1060-16-0622;Vazio;68
288;656486;0.75;2;Vazio;1060-16-0622;68
818;657016;0.75;2;1060-16-0622;Vazio;68
819;657017;0.75;2;1060-16-0622;Vazio;68
820;657018;0.75;2;1060-16-0622;Vazio;68
821;657019;0.75;2;1060-16-0622;Vazio;68
822;657020;0.75;2;1060-16-0622;Vazio;68
838;657036;0.75;2;1060-16-0622;Vazio;68
839;657037;0.75;2;1060-16-0622;Vazio;68
840;657038;0.75;2;1060-16-0622;Vazio;68
841;657039;0.75;2;1060-16-0622;Vazio;68
842;657040;0.75;2;1060-16-0622;Vazio;68
199;656397;0.75;2;1060-16-0622;Vazio;68
211;656409;0.75;2;1060-16-0622;Vazio;68
310;656508;0.75;2;Vazio;1060-16-0622;68
205;656403;0.75;2;1060-16-0622;Vazio;68
215;656413;0.75;2;1060-16-0622;Vazio;68
214;656412;0.75;2;1060-16-0622;Vazio;68
312;656510;0.75;2;Vazio;1060-16-0622;68
212;656410;0.75;2;1060-16-0622;Vazio;68
216;656414;0.75;2;1060-16-0622;Vazio;68
213;656411;0.75;2;1060-16-0622;Vazio;68
217;656415;0.75;2;1060-16-0622;Vazio;68
311;656509;0.75;2;Vazio;1060-16-0622;68
290;656488;0.75;2;Vazio;1060-16-0622;68
291;656489;0.75;2;Vazio;1060-16-0622;68
292;656490;0.75;3;Vazio;1060-16-0622;68
308;656506;0.75;3;Vazio;1060-16-0622;68
289;656487;0.75;2;Vazio;1060-16-0622;68
263;656461;0.75;2;1060-16-0622;1-770904-1;69
264;656462;0.75;2;1060-16-0622;1-770904-1;69
265;656463;0.75;2;1060-16-0622;1-770904-1;69
267;656465;0.75;2;1060-16-0622;1-770904-1;69
268;656466;0.75;2;1060-16-0622;1-770904-1;69
269;656467;0.75;2;1060-16-0622;1-770904-1;69
270;656468;0.75;2;1060-16-0622;1-770904-1;69
271;656469;0.75;2;1060-16-0622;1-770904-1;69
266;656464;0.75;2;1060-16-0622;1-770904-1;69
272;656470;0.75;2;1060-16-0622;1-770904-1;69
259;656457;0.75;2;1060-16-0622;FR2064-C;70
